Fecha de reacion,Tipo de orden,Cripto,Fiat,Precio total,Precio,Monto
"	2023/04/11","	Comprar","	USDT","	USD",29.73,0.991,30
"	2023/04/10","	Comprar","	USDT","	USD",96.931,0.991,97.81096561
"	2023/04/10","	Comprar","	USDT","	EUR",129.183,0.916,141.03
"	2023/04/10","	Comprar","	USDT","	USD",760.6,1.004,757.5697211
"	2023/04/10","	Comprar","	USDT","	EUR",181.12,0.916,197.7292576
"	2023/04/10","	Comprar","	USDT","	EUR",169.46,0.916,185
"	2023/04/09","	Comprar","	USDT","	EUR",107.889,0.916,117.7825251
"	2023/04/09","	Comprar","	USDT","	EUR",119.996,0.916,131
"	2023/04/09","	Vender","	USDT","	EUR",103,0.943,109.2258749
"	2023/04/08","	Vender","	USDT","	USD",200,1.029,194.3634597
"	2023/04/08","	Vender","	USDT","	EUR",150,0.943,159.0668081
"	2023/04/08","	Comprar","	USDT","	EUR",52.203,0.916,56.99
"	2023/04/08","	Comprar","	USDT","	USD",239.939,1.002,239.46
"	2023/04/08","	Vender","	USDT","	EUR",350,0.943,371.1558855
"	2023/04/08","	Vender","	USDT","	EUR",350.15,0.943,371.3149523
"	2023/04/07","	Vender","	USDT","	EUR",188.6,0.943,200
"	2023/04/07","	Vender","	USDT","	EUR",208,0.943,220.5726405
"	2023/04/07","	Comprar","	USDT","	EUR",771.087,0.914,843.6405518
"	2023/04/06","	Comprar","	USDT","	ARS",9994.84,387.1,25.81977795
"	2023/04/06","	Comprar","	USDT","	ARS",2980.56,388.6,7.67
"	2023/04/06","	Comprar","	USDT","	EUR",121.695,0.917,132.71
"	2023/04/06","	Comprar","	USDT","	ARS",4838.07,388.6,12.45
"	2023/04/06","	Comprar","	USDT","	ARS",6703.35,388.6,17.25
"	2023/04/06","	Comprar","	USDT","	ARS",16546.95,388.6,42.58093155
"	2023/04/06","	Vender","	USDT","	EUR",50,0.945,52.91005291
"	2023/04/05","	Comprar","	USDT","	USD",501,1.002,500
"	2023/04/04","	Comprar","	USDT","	USD",159.318,1.002,159
"	2023/04/04","	Comprar","	USDT","	USD",320.64,1.002,320
